INDEX		NUMBER	BIN	HEX
1 -39 1011000 FFFFFFD9
2 -36 1011011 FFFFFFDC
3 8 1000 8
4 34 100010 22
5 17 10001 11
6 49 110001 31
7 5 101 5
8 39 100111 27
9 0  
10 33 100001 21
11 12 1100 C
12 -6 1001 FFFFFFFA
13 27 11011 1B
14 -4 1011 FFFFFFFC
15 -38 1011001 FFFFFFDA
16 26 11010 1A
17 49 110001 31
18 29 11101 1D
19 42 101010 2A
20 -16 101111 FFFFFFF0
21 -28 100011 FFFFFFE4
22 34 100010 22
23 20 10100 14
24 0  
25 25 11001 19
26 45 101101 2D
27 3 11 3
28 -46 1010001 FFFFFFD2
29 -46 1010001 FFFFFFD2
30 29 11101 1D
31 33 100001 21
32 29 11101 1D
33 26 11010 1A
34 -5 1010 FFFFFFFB
35 -36 1011011 FFFFFFDC
36 12 1100 C
37 45 101101 2D
38 -50 1001101 FFFFFFCE
39 0  
40 -6 1001 FFFFFFFA
41 -39 1011000 FFFFFFD9
42 35 100011 23
43 26 11010 1A
44 -35 1011100 FFFFFFDD
45 -42 1010101 FFFFFFD6
46 14 1110 E
47 -3 100 FFFFFFFD
48 22 10110 16
49 -47 1010000 FFFFFFD1
50 12 1100 C
51 -17 101110 FFFFFFEF
52 -31 100000 FFFFFFE1
53 -25 100110 FFFFFFE7
54 -35 1011100 FFFFFFDD
55 -18 101101 FFFFFFEE
56 14 1110 E
57 37 100101 25
58 -8 10111 FFFFFFF8
59 -41 1010110 FFFFFFD7
60 -50 1001101 FFFFFFCE
61 -9 10110 FFFFFFF7
62 2 10 2
63 12 1100 C
64 -39 1011000 FFFFFFD9
65 -17 101110 FFFFFFEF
66 0  
67 27 11011 1B
68 28 11100 1C
69 45 101101 2D
70 -44 1010011 FFFFFFD4
71 28 11100 1C
72 35 100011 23
73 -33 1011110 FFFFFFDF
74 43 101011 2B
75 -4 1011 FFFFFFFC
76 23 10111 17
77 -49 1001110 FFFFFFCF
78 49 110001 31
79 -7 1000 FFFFFFF9
80 -38 1011001 FFFFFFDA
81 -45 1010010 FFFFFFD3
82 5 101 5
83 -21 101010 FFFFFFEB
84 26 11010 1A
85 -2 101 FFFFFFFE
86 -24 100111 FFFFFFE8
87 6 110 6
88 -45 1010010 FFFFFFD3
89 -4 1011 FFFFFFFC
90 15 1111 F
91 0  
92 -17 101110 FFFFFFEF
93 -35 1011100 FFFFFFDD
94 43 101011 2B
95 45 101101 2D
96 -35 1011100 FFFFFFDD
97 -8 10111 FFFFFFF8
98 28 11100 1C
99 47 101111 2F
100 34 100010 22
101 -24 100111 FFFFFFE8
102 -42 1010101 FFFFFFD6
103 -13 10010 FFFFFFF3
104 14 1110 E
105 -45 1010010 FFFFFFD3
106 -35 1011100 FFFFFFDD
107 27 11011 1B
108 -12 10011 FFFFFFF4
109 -19 101100 FFFFFFED
110 -20 101011 FFFFFFEC
111 -14 10001 FFFFFFF2
112 20 10100 14
113 30 11110 1E
114 12 1100 C
115 -36 1011011 FFFFFFDC
116 -47 1010000 FFFFFFD1
117 -27 100100 FFFFFFE5
118 -3 100 FFFFFFFD
119 6 110 6
120 36 100100 24
121 9 1001 9
122 -16 101111 FFFFFFF0
123 36 100100 24
124 -27 100100 FFFFFFE5
125 7 111 7
126 -6 1001 FFFFFFFA
127 -5 1010 FFFFFFFB
128 5 101 5
129 47 101111 2F
130 23 10111 17
131 -48 1001111 FFFFFFD0
132 -24 100111 FFFFFFE8
133 40 101000 28
134 -4 1011 FFFFFFFC
135 -18 101101 FFFFFFEE
136 -19 101100 FFFFFFED
137 14 1110 E
138 15 1111 F
139 1 1 1
140 24 11000 18
141 -9 10110 FFFFFFF7
142 -50 1001101 FFFFFFCE
143 18 10010 12
144 15 1111 F
145 30 11110 1E
146 44 101100 2C
147 9 1001 9
148 19 10011 13
149 33 100001 21
150 41 101001 29
151 -24 100111 FFFFFFE8
152 43 101011 2B
153 48 110000 30
154 -23 101000 FFFFFFE9
155 7 111 7
156 28 11100 1C
157 8 1000 8
158 -2 101 FFFFFFFE
159 37 100101 25
160 42 101010 2A
161 -17 101110 FFFFFFEF
162 -6 1001 FFFFFFFA
163 36 100100 24
164 22 10110 16
165 27 11011 1B
166 31 11111 1F
167 -47 1010000 FFFFFFD1
168 -43 1010100 FFFFFFD5
169 0  
170 27 11011 1B
171 30 11110 1E
172 12 1100 C
173 -15 10000 FFFFFFF1
174 -19 101100 FFFFFFED
175 -42 1010101 FFFFFFD6
176 -37 1011010 FFFFFFDB
177 31 11111 1F
178 -10 10101 FFFFFFF6
179 18 10010 12
180 33 100001 21
181 -15 10000 FFFFFFF1
182 17 10001 11
183 25 11001 19
184 -25 100110 FFFFFFE7
185 -5 1010 FFFFFFFB
186 33 100001 21
187 -13 10010 FFFFFFF3
188 33 100001 21
189 -10 10101 FFFFFFF6
190 47 101111 2F
191 47 101111 2F
192 -13 10010 FFFFFFF3
193 -32 1011111 FFFFFFE0
194 1 1 1
195 1 1 1
196 -25 100110 FFFFFFE7
197 -33 1011110 FFFFFFDF
198 16 10000 10
199 17 10001 11
200 4 100 4



Time of execution: 0.000000 milliseconds
