INDEX		NUMBER	BIN	HEX
1 -39 11111111111111111111111111100111 FFFFFF27
2 -36 11111111111111111111111111100100 FFFFFF24
3 8 1000 8
4 34 100010 22
5 17 10001 11
6 49 110001 31
7 5 101 5
8 0 0 0
9 33 100001 21
10 12 1100 C
11 -6 11111111111111111111111111111110 FFFFFFF6
12 27 11011 1B
13 -4 11111111111111111111111111111100 FFFFFFF4
14 -38 11111111111111111111111111100110 FFFFFF26
15 26 11010 1A
16 29 11101 1D
17 42 101010 2A
18 -16 11111111111111111111111111110000 FFFFFF10
19 20 10100 14
20 25 11001 19
21 45 101101 2D
22 3 11 3
23 -46 11111111111111111111111111101110 FFFFFF2E
24 -5 11111111111111111111111111111101 FFFFFFF5
25 -50 11111111111111111111111111110010 FFFFFF32



Time of execution: 0.000000 milliseconds
